"2018/05/15 7:07:45 PM GMT+1","I use Haxe for hobby projects","> 15 years","< 1 year","2-10","Mobile Games;Web based games","JavaScript;C++;Flash (SWF)","Bulgaria","Official installer","iOS App Store;Android Play;The Web","Windows","Chrome","Android","hxcpp, openfl, lime, actuate, smartfox-haxe-client,  msignal , minject, haxeui-core , haxeui-openfl, jsprop","","Forums - http://community.haxe.org","< $30,000","No","Yes","No","Free","$1-$100",""
"2018/05/17 7:47:18 PM GMT+1","It is one of the main tools I use professionally","7-10 years","1-2 years","<= 1","Mobile Games","JavaScript","Russia","Official installer","The Web","Windows","Firefox","Android","openfl, HaxePunk, actuate, advanced-layout","","Gitter.im;Telegram","< $30,000","No","No","No","","",""
"2018/05/17 7:48:54 PM GMT+1","It is one of the main tools I use professionally","7-10 years","4-6 years","N/A","Desktop Games;Mobile Games;Front-end web","JavaScript;C++","Spain","Official installer;Linux Package Manager;NPM;Build from source","Steam;iOS App Store;Google Play;The Web","Windows","Firefox","Android","","","Forums - http://community.haxe.org;Twitter","$30,000-$50,000","Yes","Yes","No","Free","$1-$100",""
"2018/05/17 8:23:40 PM GMT+1","It is a tool I use occasionally for professional work","3-5 years","< 1 year","2-10","Mobile Games;Front-end web;Mobile Applications","JavaScript","","Official installer","iOS App Store;Google Play","Windows","Chrome","iOS","Openfl ","","Telegram","< $30,000","No","No","No","","$1-$100",""
"2018/05/17 8:37:51 PM GMT+1","I use Haxe for hobby projects","7-10 years","2-4 years","N/A","Desktop Games;Mobile Games;Desktop Applications;Mobile Applications","JavaScript;C++;HashLink;Neko","Germany","Official installer","itch.io","Windows","Firefox","Android","Haxeflixel, HaxeUI, Kha, Heaps, Priori,...","","Twitter","I'd rather not say","No","No","No","Free","$1-$100",""
"2018/05/17 9:06:00 PM GMT+1","I use Haxe for hobby projects","10-15 years","2-4 years","26-100","Mobile Games;Back-end web;Desktop Applications;Mobile Applications","JavaScript;C++;Flash (SWF)","Latvia","Official installer","iOS App Store;Google Play","OSX","Safari","iOS","openfl haxeflixel tink_state","","Forums - http://community.haxe.org;Twitter","I'd rather not say","No","Yes","No","Free","$1-$100",""
"2018/05/17 9:25:53 PM GMT+1","It is one of the main tools I use professionally","> 15 years","6-8 years","<= 1","Desktop Games;Front-end web;Back-end web;Desktop Applications;Command Line Utilities","JavaScript;C++;PHP;Neko","Germany","Official installer","The Web","Windows","Firefox","Android","Kha, Ash, HaxeUI, OpenFL, pixijs, systools, tink","","Forums - http://community.haxe.org;Twitter","$30,000-$50,000","No","Yes","No","Free","Nothing",""
"2018/05/17 9:48:43 PM GMT+1","I use Haxe for hobby projects","10-15 years","6-8 years","<= 1","Front-end web;Back-end web;Desktop Applications;Mobile Applications;Sotfware Libraries;Command Line Utilities","JavaScript;Python","Portugal","Official installer","Mac App Store;Google Play;The Web","Linux","Chrome","Android","tink_*, thx.core","","Forums - http://community.haxe.org;Twitter","$70,001-$100,000","Yes","Yes","No","Professional","$1-$100",""
"2018/05/17 9:53:42 PM GMT+1","It is one of the main tools I use professionally","10-15 years","4-6 years","N/A","Desktop Games;Mobile Games;Front-end web;Desktop Applications;Mobile Applications;Command Line Utilities","JavaScript;C++;HashLink;C#;Neko;Flash (SWF);--interp","Belarus","Official installer;Chocolatey;Build from source;Homebrew","iOS App Store;Google Play;Amazon App Store;The Web","OSX","Chrome","Android","hxmake, utest, hxnodejs, electron, dox, etc...","","Forums - http://community.haxe.org;Twitter;Slack","$50,001-$70,000","Yes","Yes","Yes","Elite","$5001-$20,000",""
"2018/05/17 10:28:50 PM GMT+1","It is a tool I use occasionally for professional work","7-10 years","> 8 years","<= 1","Front-end web;Back-end web;Desktop Applications;Mobile Applications;Command Line Utilities;Art","JavaScript;C++;PHP;Neko;Flash (SWF);--interp","France","Linux Package Manager","The Web","Linux","Firefox","Android","hxcpp, openfl, thx, record-macros, jQueryExtern, haxeui, tink, hscript, format, dbadmin, HtmlParser, hxparse, profiler,  monsoon, polygonal-ds, sugoi","","Forums - http://community.haxe.org;Twitter;Gitter.im","< $30,000","No","Yes","No","Free","$1-$100",""
"2018/05/17 11:06:06 PM GMT+1","It is one of the main tools I use professionally","10-15 years","> 8 years","<= 1","Desktop Games;Mobile Games","JavaScript;C++;Flash (SWF)","Germany","Official installer","iOS App Store;Google Play;The Web","Windows","Chrome","Android","","","Forums - http://community.haxe.org;Twitter","< $30,000","Yes","Yes","No","Free","$1-$100",""
"2018/05/18 1:00:13 AM GMT+1","It is a tool I use occasionally for professional work","10-15 years","4-6 years","N/A","Desktop Games;Mobile Games;Desktop Applications;Sotfware Libraries;Command Line Utilities","JavaScript;C++;HashLink;Neko;--interp","Russia","Official installer;Build from source","Steam;iOS App Store;Google Play;itch.io;The Web","Windows","Chrome","Android","own haxepunk fork, format, format-tiled, openfl","","Telegram","< $30,000","Yes","Yes","No","Free","$1-$100",""
"2018/05/18 1:20:42 AM GMT+1","I use Haxe for hobby projects","7-10 years","1-2 years","2-10","Desktop Games;Mobile Games;Front-end web;Mobile Applications","JavaScript;PHP;Java;Neko;Flash (SWF)","Mexico","Official installer","Google Play;The Web","Windows","Firefox","Android","Openfl, haxeflixel, Actuate,","","Twitter","< $30,000","No","No","No","Free","Nothing",""
"2018/05/18 5:26:33 AM GMT+1","It is one of the main tools I use professionally","7-10 years","1-2 years","501-1500","Front-end web","JavaScript;Flash (SWF)","Ukraine","Official installer;Chocolatey;Homebrew","The Web","Windows","Chrome","Android","","","Forums - http://community.haxe.org;Twitter","I'd rather not say","Yes","No","No","Free","Nothing",""
"2018/05/18 5:40:31 AM GMT+1","It is one of the main tools I use professionally","10-15 years","4-6 years","1501-10000","Desktop Games;Mobile Games;Front-end web;Desktop Applications;Mobile Applications;Command Line Utilities","JavaScript;C++;HashLink;Neko;Flash (SWF)","Russia","Official installer","Steam;iOS App Store;Google Play","Windows","Firefox","Android","","","Forums - http://community.haxe.org;Gitter.im;telegram","$50,001-$70,000","Yes","Yes","No","Professional","$501-$1000",""
"2018/05/18 7:48:22 AM GMT+1","I use Haxe for hobby projects","7-10 years","1-2 years","<= 1","Desktop Games;Mobile Games","JavaScript;C++;Neko;Flash (SWF)","Australia","Official installer","itch.io;The Web","Linux","Opera","Android","OpenFL, Lime, Away3D","","Forums - http://community.haxe.org;#haxe on irc","I'd rather not say","No","No","No","Free","$1-$100",""
"2018/05/18 8:17:26 AM GMT+1","It is one of the main tools I use professionally","> 15 years","< 1 year","10-25","Desktop Games;Mobile Games;Front-end web","JavaScript;C++;Flash (SWF)","Slovenia","Official installer","The Web","Windows","Firefox","iOS","","","","I'd rather not say","No","No","No","Free","Nothing",""
"2018/05/18 9:07:41 AM GMT+1","It is one of the main tools I use professionally","> 15 years","> 8 years","501-1500","Front-end web;Sotfware Libraries;Command Line Utilities","JavaScript;C#","Denmark","Official installer","The Web","OSX","Safari","iOS","creates, openfl, lime, hxnodejs, hxcs, hamcrest","","Gitter.im","I'd rather not say","Yes","No","No","Professional","$501-$1000",""
"2018/05/18 9:11:27 AM GMT+1","It is one of the main tools I use professionally","7-10 years","4-6 years","26-100","Mobile Games;Sotfware Libraries","JavaScript;C++;Flash (SWF)","Russia","Official installer","iOS App Store;Google Play;The Web","Windows","Firefox","Android","OpenFL, munit, format, hxcpp","","Twitter","< $30,000","No","Yes","No","","",""
"2018/05/18 10:24:54 AM GMT+1","It is one of the main tools I use professionally","> 15 years","> 8 years","501-1500","Front-end web;Back-end web;Sotfware Libraries;Command Line Utilities","JavaScript;--interp","Germany","lix","The Web;Various servers","Windows","Chrome","Android","Too many to list.","","Forums - http://community.haxe.org;Gitter.im","$100,001-$150,000","Yes","Yes","Yes","I'd much rather put money toward specific goals.","$5001-$20,000",""
"2018/05/18 10:33:10 AM GMT+1","I use Haxe for hobby projects","7-10 years","4-6 years","N/A","Desktop Games;Command Line Utilities;Art","JavaScript;C++;Neko;Flash (SWF)","Austria","Official installer;Linux Package Manager","The Web","Windows","Chrome","None","format, openfl","","Forums - http://community.haxe.org","I'd rather not say","Yes","No","No","Free","$1-$100",""
"2018/05/18 10:54:39 AM GMT+1","It is one of the main tools I use professionally","3-5 years","2-4 years","2-10","Front-end web","JavaScript","Ukraine","Official installer","The Web","Windows","Chrome","Android","","","","< $30,000","No","No","No","Free","Nothing",""
"2018/05/18 11:01:35 AM GMT+1","I use Haxe for hobby projects","3-5 years","< 1 year","2-10","Mobile Games","JavaScript","China","Homebrew","The Web","OSX","Chrome","iOS","heaps","","","$100,001-$150,000","Yes","Yes","No","Enterprise","$501-$1000",""
"2018/05/18 11:27:55 AM GMT+1","It is one of the main tools I use professionally","3-5 years","< 1 year","10-25","Desktop Games","C++;Neko","Germany","Official installer;Homebrew","own hardware","OSX","Safari","Android","haxeflixel","","","$30,000-$50,000","Yes","No","No","Free","$1-$100",""
"2018/05/18 3:10:39 PM GMT+1","It is a tool I use occasionally for professional work","10-15 years","6-8 years","<= 1","Front-end web;Back-end web;Desktop Applications;Sotfware Libraries;Command Line Utilities","JavaScript;C++;Java;Neko;Python","United Kingdom","Official installer;Lix","The Web","Windows","Chrome","Android","","","Twitter","I'd rather not say","Yes","Yes","No","Free","$501-$1000",""
"2018/05/18 3:10:57 PM GMT+1","I use Haxe for hobby projects","10-15 years","6-8 years","2-10","Desktop Games;Mobile Games;Front-end web;Back-end web;Sotfware Libraries;Command Line Utilities;Art","JavaScript;C++;PHP;Flash (SWF)","United Kingdom","Official installer;Linux Package Manager","itch.io;The Web","Windows","Firefox","Android","OpenFl, flixel","","Twitter","< $30,000","Yes","Yes","No","Free","Nothing",""
"2018/05/18 3:15:49 PM GMT+1","I use Haxe for hobby projects","7-10 years","2-4 years","N/A","Desktop Games;Mobile Games;Sotfware Libraries","JavaScript;C++;C#;--interp","France","Build from source","The Web","Linux","Firefox","Android","","","Forums - http://community.haxe.org;Twitter","I'd rather not say","Yes","Yes","No","Free","$1-$100",""
"2018/05/18 3:21:44 PM GMT+1","It is one of the main tools I use professionally","> 15 years","> 8 years","2-10","Front-end web;Back-end web;Mobile Applications;Command Line Utilities","JavaScript;C#;Neko;Flash (SWF)","France","Releases from github / build.haxe.org","The Web","Linux","Vivaldi (chromium-based)","Android","A few dozens","","Forums - http://community.haxe.org;Twitter;Gitter.im","$50,001-$70,000","Yes","Yes","No","Free","$1-$100",""
"2018/05/18 3:22:39 PM GMT+1","It is one of the main tools I use professionally","10-15 years","1-2 years","1501-10000","Frontend Web Games targeting both Mobile & Desktop","JavaScript","South Africa","switchx","The Web","OSX","Safari","iOS","Buddy, Mockatoo, MCover, PixiJS, HowlerJS, MInject","","Forums - http://community.haxe.org;Twitter;Gitter.im;Github","$70,001-$100,000","Yes","Yes","No","I am actively petitioning management to sign up for a support plan, but we are busy working to deliver a proof of concept product to prove the value.",">$100,000",""
"2018/05/18 3:24:56 PM GMT+1","I use Haxe for hobby projects","10-15 years","< 1 year","<= 1","Desktop Games;Mobile Games;Front-end web;Desktop Applications;Art","JavaScript;C++;Flash (SWF)","United States","Official installer","The Web","Windows","Chrome","Android","Lime, OpenFL","","Forums - http://community.haxe.org","< $30,000","No","No","No","Free","$1-$100",""
